date,COMPANY_NAME,orders
2026-07-01,ALPHAWALK SERVICES LLP,1
2026-07-01,ANSH SABHARWAL,17
2026-07-01,ARTI KAPOOR,93
2026-07-01,Aabhar Ventures Private Limited,1
2026-07-01,Amitva retail,1
2026-07-01,Boenjoy Gifts,1
2026-07-01,DABSTER INTERNATIONAL PRIVATE LIMITED,2
2026-07-01,DYNAMIC MARKETTING SOLUTION,3
2026-07-01,Go5 Incorporation,15
2026-07-01,Goodveda Health Labs Pvt Ltd,1
2026-07-01,HITESH JAIN,3
2026-07-01,J3J ECOM PRIVATE LIMITED,1
2026-07-01,JUGAL KANT SHARMA,2
2026-07-01,MAYANK KWATRA,1
2026-07-01,Mahera Ejaz Ali Bandaly,1
2026-07-01,NAMMA DABBA PRIVATE LIMITED,6
2026-07-01,NUTS DELISH PRIVATE LIMITED,1
2026-07-01,PANDA,3
2026-07-01,RITI ARORA,2
2026-07-01,RedroomTechnology Private Limited,2
2026-07-01,SAVANI DAYABEN,1
2026-07-01,ShopeeQ.com,40
2026-07-01,Sproutlife Foods Pvt ltd,7
2026-07-01,Visage lines Personal Care Pvt Ltd,3
2026-07-01,ZYNTRIX LIFESTYLE LLP,2
2026-07-02,ALPHAWALK SERVICES LLP,4
2026-07-02,ANSH SABHARWAL,21
2026-07-02,ARTI KAPOOR,140
2026-07-02,Belogical Wellness Private Limited,1
2026-07-02,Go5 Incorporation,18
2026-07-02,HITESH JAIN,3
2026-07-02,INAARA WELLNESS PRIVATE LIMITED,1
2026-07-02,JANESH AGRAWAL,1
2026-07-02,MAYANK KWATRA,4
2026-07-02,NAMMA DABBA PRIVATE LIMITED,4
2026-07-02,NUTS DELISH PRIVATE LIMITED,1
2026-07-02,PrimeChoice,1
2026-07-02,RITI ARORA,2
2026-07-02,RedroomTechnology Private Limited,3
2026-07-02,ShopeeQ.com,61
2026-07-02,Sproutlife Foods Pvt ltd,3
2026-07-02,Vamanand technokraft pvt ltd,1
2026-07-02,Visage lines Personal Care Pvt Ltd,10
2026-07-02,WAYVEDA INDIA PRIVATE LIMITED,1
2026-07-02,ZYNTRIX LIFESTYLE LLP,4
2026-07-03,ALPHAWALK SERVICES LLP,1
2026-07-03,ANSH SABHARWAL,2
2026-07-03,APIC Inc.,1
2026-07-03,ARTI KAPOOR,97
2026-07-03,Anand gift emporium,2
2026-07-03,Belogical Wellness Private Limited,1
2026-07-03,DYNAMIC MARKETTING SOLUTION,1
2026-07-03,FitFeast,1
2026-07-03,GEMIES CONSUMER PRIVATE LIMITED,1
2026-07-03,GUNIAA FASHIONS PVT LTD,1
2026-07-03,Getsetwear Clothing,2
2026-07-03,Go5 Incorporation,10
2026-07-03,HITESH JAIN,2
2026-07-03,JUGAL KANT SHARMA,1
2026-07-03,MAYANK KWATRA,5
2026-07-03,NAMMA DABBA PRIVATE LIMITED,2
2026-07-03,Order Status,154
2026-07-03,PANDA,2
2026-07-03,RITI ARORA,7
2026-07-03,RedroomTechnology Private Limited,1
2026-07-03,SUPER CLONE ENTERPRISES (OPC) PRIVATE LIMITED,3
2026-07-03,ShopeeQ.com,47
2026-07-03,Sproutlife Foods Pvt ltd,3
2026-07-03,Visage lines Personal Care Pvt Ltd,1
2026-07-03,ZIBBRI INDIA PRIVATE LIMITED,1
2026-07-03,ZYNTRIX LIFESTYLE LLP,3
2026-07-03,brillare science,1
2026-07-04,ABINITIO SOLUTIONS PRIVATE LIMITED,1
2026-07-04,ALPHAWALK SERVICES LLP,3
2026-07-04,ARTI KAPOOR,84
2026-07-04,Getsetwear Clothing,3
2026-07-04,Go5 Incorporation,9
2026-07-04,HITESH JAIN,4
2026-07-04,JUGAL KANT SHARMA,4
2026-07-04,Mahera Ejaz Ali Bandaly,1
2026-07-04,NAMMA DABBA PRIVATE LIMITED,1
2026-07-04,Order Status,116
2026-07-04,PANDA,1
2026-07-04,RITI ARORA,7
2026-07-04,RedroomTechnology Private Limited,1
2026-07-04,ShopeeQ.com,54
2026-07-04,Sproutlife Foods Pvt ltd,3
2026-07-04,Visage lines Personal Care Pvt Ltd,6
2026-07-04,nPure Life Science Pvt Ltd,1
2026-07-05,ANSH SABHARWAL,2
2026-07-05,ARTI KAPOOR,119
2026-07-05,Aabhar Ventures Private Limited,1
2026-07-05,BEATFUS PRODUCTS PRIVATE LIMITED,2
2026-07-05,DABSTER INTERNATIONAL PRIVATE LIMITED,2
2026-07-05,Go5 Incorporation,9
2026-07-05,HITESH JAIN,4
2026-07-05,Health Veda Organics,1
2026-07-05,MAYANK KWATRA,1
2026-07-05,Mahera Ejaz Ali Bandaly,1
2026-07-05,NAMMA DABBA PRIVATE LIMITED,3
2026-07-05,Order Status,28
2026-07-05,RITI ARORA,2
2026-07-05,RedroomTechnology Private Limited,6
2026-07-05,SUPER CLONE ENTERPRISES (OPC) PRIVATE LIMITED,2
2026-07-05,ShopeeQ.com,51
2026-07-05,Sproutlife Foods Pvt ltd,4
2026-07-05,THE HATKE,2
2026-07-05,Visage lines Personal Care Pvt Ltd,2
2026-07-06,ALPHAWALK SERVICES LLP,2
2026-07-06,ANSH SABHARWAL,1
2026-07-06,ARTI KAPOOR,113
2026-07-06,AURO FRUIT AND NUT PRIVATE LIMITED,2
2026-07-06,Anand gift emporium,1
2026-07-06,Belogical Wellness Private Limited,1
2026-07-06,Boenjoy Gifts,1
2026-07-06,CAMPUSSUTRA RETAIL PRIVATE LIMITED,1
2026-07-06,GEEKVERSE VENTURES LLP,1
2026-07-06,GEMIES CONSUMER PRIVATE LIMITED,1
2026-07-06,Go5 Incorporation,12
2026-07-06,HITESH JAIN,4
2026-07-06,In??ief,1
2026-07-06,JANESH AGRAWAL,1
2026-07-06,JUGAL KANT SHARMA,1
2026-07-06,MAYANK KWATRA,1
2026-07-06,NAMMA DABBA PRIVATE LIMITED,4
2026-07-06,Order Status,4
2026-07-06,RITI ARORA,1
2026-07-06,ShopeeQ.com,47
2026-07-06,Sproutlife Foods Pvt ltd,2
2026-07-06,Visage lines Personal Care Pvt Ltd,4
2026-07-06,ZIBBRI INDIA PRIVATE LIMITED,1
2026-07-07,ABINITIO SOLUTIONS PRIVATE LIMITED,1
2026-07-07,ALPHAWALK SERVICES LLP,2
2026-07-07,ANSH SABHARWAL,1
2026-07-07,ARTI KAPOOR,107
2026-07-07,DABSTER INTERNATIONAL PRIVATE LIMITED,1
2026-07-07,Farm Fresco,1
2026-07-07,Flavour Sutra Private Limited,1
2026-07-07,Go5 Incorporation,7
2026-07-07,HITESH JAIN,6
2026-07-07,INAARA WELLNESS PRIVATE LIMITED,1
2026-07-07,JUGAL KANT SHARMA,1
2026-07-07,LUNAER WORLD PRIVATE LIMITED,1
2026-07-07,NAMMA DABBA PRIVATE LIMITED,5
2026-07-07,NextGen Ecom Solutions,1
2026-07-07,Order Status,4
2026-07-07,RITI ARORA,2
2026-07-07,RedroomTechnology Private Limited,1
2026-07-07,ShopeeQ.com,55
2026-07-07,Sproutlife Foods Pvt ltd,2
2026-07-07,THE HATKE,1
2026-07-07,Visage lines Personal Care Pvt Ltd,8
2026-07-08,ANSH SABHARWAL,1
2026-07-08,ARTI KAPOOR,89
2026-07-08,BEVZILLA PRIVATE LIMITED,1
2026-07-08,DABSTER INTERNATIONAL PRIVATE LIMITED,2
2026-07-08,EYEWEAR SOLUTIONS,1
2026-07-08,GEEKVERSE VENTURES LLP,1
2026-07-08,GO DESi MANDI PVT LTD,1
2026-07-08,Go5 Incorporation,6
2026-07-08,HITESH JAIN,4
2026-07-08,INLOOP STUDIO,1
2026-07-08,NAMMA DABBA PRIVATE LIMITED,3
2026-07-08,Order Status,255
2026-07-08,QUICKCOM SOLUTIONS PRIVATE LIMITED,1
2026-07-08,RITI ARORA,17
2026-07-08,SUPER CLONE ENTERPRISES (OPC) PRIVATE LIMITED,24
2026-07-08,ShopeeQ.com,40
2026-07-08,Sproutlife Foods Pvt ltd,4
2026-07-08,THE HATKE,1
2026-07-08,ZIBBRI INDIA PRIVATE LIMITED,2
2026-07-09,ARTI KAPOOR,95
